_id,DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
125459.0,2020-01-03T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,6,47,231
127806.0,2020-01-03T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,129,6,43,185
130306.0,2020-01-03T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,107,8,51,196
131403.0,2020-01-03T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,9,52,192
132995.0,2020-01-03T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,6,53,172
136451.0,2020-01-03T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,131,7,53,166
138970.0,2020-01-03T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,120,7,61,151
141023.0,2020-01-03T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,10,56,169
142097.0,2020-01-03T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,9,52,147
145944.0,2020-01-03T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,6,53,154
147530.0,2020-01-03T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,6,50,218
149714.0,2020-01-03T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,6,42,238
152218.0,2020-01-03T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,7,56,197
154066.0,2020-01-03T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,6,60,118
157068.0,2020-01-03T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,11,69,102
159878.0,2020-01-03T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,127,9,67,83
160837.0,2020-01-03T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,8,60,81
163785.0,2020-01-04T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,131,13,69,60
166316.0,2020-01-04T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,120,16,59,43
168407.0,2020-01-04T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,129,21,61,25
171163.0,2020-01-04T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,11,58,13
172729.0,2020-01-04T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,9,55,20
173591.0,2020-01-04T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,102,20,64,27
176131.0,2020-01-04T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,6,58,86
178347.0,2020-01-04T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,128,7,54,162
181530.0,2020-01-04T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,125,6,54,220
183744.0,2020-01-04T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,116,6,52,188
186778.0,2020-01-04T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,129,7,56,178
189119.0,2020-01-04T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,7,52,147
191622.0,2020-01-04T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,6,50,170
194157.0,2020-01-04T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,134,7,51,145
195854.0,2020-01-04T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,125,6,53,173
197182.0,2020-01-04T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,6,59,152
199296.0,2020-01-04T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,6,56,128
201662.0,2020-01-04T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,128,6,55,147
204290.0,2020-01-04T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,133,6,56,142
207163.0,2020-01-04T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,9,58,115
209796.0,2020-01-04T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,127,6,63,77
210651.0,2020-01-04T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,135,9,55,64
213174.0,2020-01-04T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,13,70,57
216577.0,2020-01-04T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,11,67,59
218212.0,2020-01-05T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,25,70,51
219655.0,2020-01-05T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,13,61,32
222166.0,2020-01-05T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,6,73,18
224240.0,2020-01-05T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,126,26,70,11
227610.0,2020-01-05T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,45,75,14
229102.0,2020-01-05T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,32,71,15
230570.0,2020-01-05T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,19,72,32
233199.0,2020-01-05T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,97,6,51,43
235861.0,2020-01-05T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,8,58,50
237967.0,2020-01-05T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,124,7,58,48
241303.0,2020-01-05T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,141,9,69,61
243247.0,2020-01-05T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,124,6,59,63
245488.0,2020-01-05T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,9,63,84
247766.0,2020-01-05T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,133,7,62,70
249415.0,2020-01-05T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,127,8,60,78
251200.0,2020-01-05T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,133,12,61,93
254561.0,2020-01-05T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,6,58,97
257504.0,2020-01-05T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,102,6,55,81
259950.0,2020-01-05T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,99,8,58,82
261158.0,2020-01-05T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,6,54,84
263437.0,2020-01-05T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,107,12,62,62
265275.0,2020-01-05T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,125,8,59,49
268228.0,2020-01-05T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,12,62,57
269656.0,2020-01-05T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,8,52,55
273302.0,2020-01-06T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,22,60,31
275220.0,2020-01-06T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,91,12,50,27
277156.0,2020-01-06T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,102,22,49,8
278952.0,2020-01-06T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,7,46,13
281031.0,2020-01-06T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,96,27,53,21
283382.0,2020-01-06T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,23,60,55
286150.0,2020-01-06T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,9,57,148
286895.0,2020-01-06T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,107,6,35,241
289838.0,2020-01-06T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,6,41,176
292564.0,2020-01-06T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,100,6,42,185
293450.0,2020-01-06T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,7,50,125
296392.0,2020-01-06T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,98,6,45,108
298540.0,2020-01-06T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,6,49,116
300923.0,2020-01-06T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,8,49,164
303342.0,2020-01-06T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,6,47,172
306987.0,2020-01-06T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,6,48,173
308376.0,2020-01-06T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,104,7,48,165
309878.0,2020-01-06T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,6,45,269
312068.0,2020-01-06T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,98,6,37,210
315478.0,2020-01-06T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,6,42,194
316716.0,2020-01-06T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,8,57,135
320555.0,2020-01-06T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,6,56,96
321598.0,2020-01-06T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,100,7,51,69
324281.0,2020-01-06T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,7,54,57
327554.0,2020-01-07T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,88,14,58,30
328094.0,2020-01-07T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,100,12,49,34
